Game ID,Game Name,Bet Name,Market Name,Sportsbook,line,Odds
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Baltimore Orioles,1st Half Moneyline,Pinnacle,,200.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Detroit Tigers,1st Half Moneyline,Pinnacle,,-239.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Baltimore Orioles +0.5,1st Half Run Line,Pinnacle,0.5,126.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Baltimore Orioles +1,1st Half Run Line,Pinnacle,1.0,-113.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Baltimore Orioles -0.5,1st Half Run Line,Pinnacle,-0.5,246.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Baltimore Orioles -1,1st Half Run Line,Pinnacle,-1.0,369.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Detroit Tigers +0.5,1st Half Run Line,Pinnacle,0.5,-313.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Detroit Tigers +1,1st Half Run Line,Pinnacle,1.0,-540.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Detroit Tigers -0.5,1st Half Run Line,Pinnacle,-0.5,-148.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Detroit Tigers -1,1st Half Run Line,Pinnacle,-1.0,-105.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Baltimore Orioles Over 1.5,1st Half Team Total,Pinnacle,1.5,132.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Baltimore Orioles Under 1.5,1st Half Team Total,Pinnacle,1.5,-162.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Detroit Tigers Over 2.5,1st Half Team Total,Pinnacle,2.5,113.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Detroit Tigers Under 2.5,1st Half Team Total,Pinnacle,2.5,-137.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Baltimore Orioles Even,1st Half Team Total Odd/Even,Pinnacle,,-142.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Baltimore Orioles Odd,1st Half Team Total Odd/Even,Pinnacle,,121.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Detroit Tigers Even,1st Half Team Total Odd/Even,Pinnacle,,-126.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Detroit Tigers Odd,1st Half Team Total Odd/Even,Pinnacle,,108.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Over 3,1st Half Total Runs,Pinnacle,3.0,-197.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Over 3.5,1st Half Total Runs,Pinnacle,3.5,-128.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Over 4,1st Half Total Runs,Pinnacle,4.0,103.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Over 4.5,1st Half Total Runs,Pinnacle,4.5,132.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Over 5,1st Half Total Runs,Pinnacle,5.0,175.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Under 3,1st Half Total Runs,Pinnacle,3.0,168.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Under 3.5,1st Half Total Runs,Pinnacle,3.5,111.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Under 4,1st Half Total Runs,Pinnacle,4.0,-118.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Under 4.5,1st Half Total Runs,Pinnacle,4.5,-153.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Under 5,1st Half Total Runs,Pinnacle,5.0,-206.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Even,1st Half Total Runs Odd/Even,Pinnacle,,-109.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Odd,1st Half Total Runs Odd/Even,Pinnacle,,-107.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Baltimore Orioles,1st Inning Moneyline,Pinnacle,,139.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Detroit Tigers,1st Inning Moneyline,Pinnacle,,-164.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Baltimore Orioles,1st Inning Moneyline 3-Way,Pinnacle,,412.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Detroit Tigers,1st Inning Moneyline 3-Way,Pinnacle,,262.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Draw,1st Inning Moneyline 3-Way,Pinnacle,,-153.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Over 0.5,1st Inning Total Runs,Pinnacle,0.5,116.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Under 0.5,1st Inning Total Runs,Pinnacle,0.5,-136.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Baltimore Orioles,First Team To Score,Pinnacle,,189.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Detroit Tigers,First Team To Score,Pinnacle,,-231.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Baltimore Orioles,Moneyline,Pinnacle,,178.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Detroit Tigers,Moneyline,Pinnacle,,-195.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,No,No Runs First Inning,Pinnacle,,116.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Yes,No Runs First Inning,Pinnacle,,-136.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Adley Rutschman Over 0.5,Player Bases,Pinnacle,0.5,-215.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Adley Rutschman Under 0.5,Player Bases,Pinnacle,0.5,158.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Coby Mayo Over 0.5,Player Bases,Pinnacle,0.5,-111.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Coby Mayo Under 0.5,Player Bases,Pinnacle,0.5,-119.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Colton Cowser Over 0.5,Player Bases,Pinnacle,0.5,-107.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Colton Cowser Under 0.5,Player Bases,Pinnacle,0.5,-124.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Dillon Dingler Over 1.5,Player Bases,Pinnacle,1.5,153.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Dillon Dingler Under 1.5,Player Bases,Pinnacle,1.5,-207.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Dylan Carlson Over 0.5,Player Bases,Pinnacle,0.5,-116.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Dylan Carlson Under 0.5,Player Bases,Pinnacle,0.5,-114.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Gleyber Torres Over 1.5,Player Bases,Pinnacle,1.5,146.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Gleyber Torres Under 1.5,Player Bases,Pinnacle,1.5,-198.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Gunnar Henderson Over 0.5,Player Bases,Pinnacle,0.5,-207.0
mlb:F3628735E35F,Baltimore Orioles vs Detroit Tigers,Gunnar Henderson Under 0.5,Player Bases,Pinnacle,0.5,153.0
